location,area
"""RD 26, BLOCK L, BASHUNDHARA R/A""",Bashundhara
"""1, PARIBAGH GARDEN TOWER, PARIBAGH""",Paribagh
"""YAGISHITA PALACE, 2, ROAD 7, SECTION 2, UTTOR BADDA ABDULLABAG""",Badda
"""RD 15, BLOCK J, BASHUNDHARA R/A""",Bashundhara
"""SOUTH BADDA ROAD, DAKKHIN BADDA, GULSHAN""",Badda
"""CLIFFORD NAFI, H 17, RD 5, KADERBAD HOUSING, MOHAMMADPUR""",Mohammadpur
"""MIRPUR MISSION, 8, SHOROK 2, SECTION 2""",Mirpur
"""28 SHAHID MINAR RD, MUKTI HOUSING, KALLYANPUR""",Kallyanpur
"""REKHA SHOES, H 97, 98, 111/1, ELEPHANT RD""",Elephant Road
"""SHEIKH RUSSEL NATIONAL GASTROLIVER INSTITUTE & HOSPITAL, TB GATE ROAD, MOHAKHALI""",Mohakhali
"""ZAMAN TOWER, H 37. 2, CULVERT RD, FAKIRAPOOL""",Fakirapool
"""AVENUE 2, ROAD 12, H 875, MIRPUR""",Mirpur
"""TOPIA SHARUBA, 280, D BLOCK 9 NO ROAD, BLOCK D, BASHUNDHARA R/A""",Bashundhara
"""SOFIA GARDEN, 666 & 667, BLOCK F ROAD 21, BASHUNDHARA R/A""",Bashundhara
"""TASHPIA KAZI TOWER, ROAD 9, BLOCK M, BANASREE""",Banasree
"""DR. SINTHIA CONSULTANT - CLINICAL & AESTHETIC DERMATOLOGY, GULSHAN 2""",Gulshan
"""ROAD NO. 22, BASHUNDHARA R/A""",Bashundhara
"""AN ARK NEPAL HOUSE, HOUSE 11, LANE 11/1, BLOCK B, SECTION 10, MIRPUR""",Mirpur
"""H 37/L, RD 3, BLOCK D, BASHUNDHARA R/A""",Bashundhara
"""HOMELAND MAHABUB PALACE, HOUSE 295/A SAYEM SOBHAN ANVIR ROAD, BLOCK C, BASHUNDHARA R/A""",Bashundhara
"""EXCLUSIVE APARTMENT, 384, AL HAJ ABDUS SOBHAS ROAD, BLOCK B, BASHUNDHARA R/A""",Bashundhara
"""UTTARA ENGINEERING COLLEGE, PAPER MILL ROAD, ABDULLAHPUR, UTTARA""",Uttara
"""RAHMAN CHEMBER, TOYENBEE ROAD, BANGLABHABAN AREA, HATKHOLA""",Hatkhola
"""UTTARA NORTH METRO RAIL STATION, DHAKA""",Uttara
"""EMON, H 28/A, RD 1, MOHAMMADI HOUSING LTD, MOHAMMADPUR""",Mohammadpur
"""THE MAJSTIC, ADHUNIK HOSPITAL ROAD, SECTION 12""",Mirpur
"""FARUK GENERAL STORE, H 8/15, RD 1, BLOCK C, LALMATIA""",Lalmatia
"""HAZRAT SHAHJALAL INTERNATIONAL AIRPORT, KURMITOLA""",Kurmitola
"""UNITED HOSPITAL LIMITED CAFE, ROAD 72, GULSHAN 2""",Gulshan
"""APOLLO HOSPITAL, H 81, SAYEM SOBHAN ANVIR RD, BLOCK E, BASHUNDHARA R/A""",Bashundhara
"""TRAUMA CENTER & AO ORTHOPADIC HOSPITAL, SHYAMOLI, MOHAMMADPUR""",Shyamoli
"""RD, MIRPUR 1""",Mirpur
"""SALINA HIT'S, 39/3, ROAD 2, SECTION 12""",Mirpur
"""DHAKA AIRPORT RAILWAY STATION, AIUB CAMPUS, KURATALI, KHILKHET, BASHUNDHARA R/A""",Khilkhet
"""DICA TEX LIMITED, HOUSE 62, ROAD 18, SECTOR 11, UTTARA""",Uttara
"""GOLDEN TULIP THE GRANDMARK DHAKA, BLOCK H, BANANI""",Banani
"""HOUSE 51, ROAD 16, SECTOR 14, UTTARA""",Uttara
"""M/S MAA BEDDING STORE, H 228, GREEN RD""",Dhanmondi
"""SN PALACE, H 696, RD 21, BLOCK F, BASHUNDHARA R/A""",Bashundhara
"""NEW AL IMAM HOTEL AND RESTAURANT, H 1, TOYENBEE CIRCULAR RD, FAKIRAPOOL""",Fakirapool
"""TRIBUTE HOMES, 35, ROAD 114, GULSHAN 2""",Gulshan
"""HOUSE 2, ROAD 15, BLOCK D, BANANI, DHAKA""",Banani
"""TITAS PAR INTERNATIONAL, HOUSE 484, ROAD 32, MOHAKHALI DOHS""",Mohakhali
"""GULSHAN POLICE CHECKPOST, GULSHAN AVENUE, GULSHAN 2""",Gulshan
"""LURASHNA, H 394 395, RD 21, BLOCK G, BASHUNDHARA R/A""",Bashundhara
"""HURDACO INTERNATIONAL SCHOOL, RD 2, BLOCK A, BASHUNDHARA R/A""",Bashundhara
"""IRRI, H 103, RD 1, BANANI""",Banani
"""DISH & DESSERT, BLOCK C, BANANI""",Banani
"""ASOI-JV (TECHNICAL), BANANI DOHS""",Banani
"""DARMAESTHETICS SKIN & LASER CENTRE, SECTOR 13, UTTARA""",Uttara
"""INSPIRA ADVISORY AND CONSULTING LTD, GULSHAN 1""",Gulshan
"""MIRPUR STADIUM MARKET, MILK VITA ROAD, SECTION 6""",Mirpur
"""LN 5, MOHAKHALI DOHS""",Mohakhali
"""UNITED HOSPITAL, RD 72, GULSHAN 2""",Gulshan
"""AIR AMBULANCE AND STRETCHER SERVICES ON COMMERCIAL AIRLINES, KEMAL ATATURK AVENUE, BANANI""",Banani
"""HOUSE 37, LAKE DRIVER ROAD, SECTOR 7, UTTARA""",Uttara
"""SHORNALI, ROAD 2/A, HOUSE 08, BLOCK F, BANANI""",Banani
"""APURBA APSORA GARDENIA, 530, BLOCK F ROAD 17, BASHUNDHARA R/A""",Bashundhara
"""PLOT 647, RD 3, BLOCK G, BASHUNDHARA R/A""",Bashundhara
"""BRAC BANK LTD, GULSHAN AVE, GULSHAN 2""",Gulshan
"""GEMINI SHOPPING CENTER, KEMAL ATATURK AVENUE, BANANI""",Banani
"""298, BLOCK ROAD 1, BASHUNDHARA R/A""",Bashundhara
"""898, ROAD NO. 17, BASHUNDHARA R/A""",Bashundhara
"""CANADIAN UNIVERSITY OF BANGLADESH, 99, ROAD 11, BANANI""",Banani
"""MAYABI SHARMIN, HOUSE 274, AL HAJ ABDUS SOBHAN ROAD, BLOCK B, BASHUNDHARA R/A""",Bashundhara
"""BASHAT ARCHITECTS ENGINEERS, BLOCK F, BANANI""",Banani
"""H 319, AKBAR RD, BLOCK D, BASHUNDHARA R/A""",Bashundhara
"""DBBL FAST TRACK, BLOCK F, BANASREE""",Banasree
"""MILIMA, 164, ROAD 4, BLOCK D, BASHUNDHARA R/A""",Bashundhara
"""RD 3, TURAG CITY, MIRPUR 1""",Mirpur
"""TECHNICHE CONSULTING SERVICES BD, ROAD 01, BLOCK F, BANANI""",Banani
"""70/D, DOLPHIN GOLI, DHANMONDI""",Dhanmondi
"""6, ROAD 4, NIKUNJA 2""",Nikunja
"""H 119/2, KAZI OFFICE LN, SIDDHESWARI""",Siddheshwari
"""ROAD NO. 14, BLOCK A, BASHUNDHARA R/A""",Bashundhara
